id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,158,2,473,2025-02-01,2.49,1,155,45,STR-0006854
5858,Creative Sanctuary,8904,Philip And Tania,,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,110,2017-08-06,0.57,1,365,0,
8142,*FriendlyRoom Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,56,32,10,2023-07-30,0.08,20,362,0,
8339,Historic Alamo Square Victorian,24215,Rosmarie,,Western Addition,37.77564,-122.43642,Entire home/apt,527,9,28,2019-06-28,0.15,1,337,0,STR-0000264
10537,Elegant & Cozy w/City views. Private room: Purple,36752,Teresa,,Bayview,37.7175,-122.39698,Private room,107,1,37,2025-02-24,0.20,3,365,13,2022-011003STR
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,100,30,18,2015-05-17,0.11,1,305,0,
11490,Cozy Nob Hill Nook Apt,42681,Rachael,,Nob Hill,37.7914,-122.41149,Private room,94,30,44,2022-08-21,0.24,1,69,0,
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,92,32,7,2022-06-11,0.04,20,365,0,
12042,Sunny/Sunset view room UCSF/USF - San Francisco*,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,92,32,6,2024-07-29,0.04,20,365,1,
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,115,3,510,2025-02-10,2.77,1,36,30,STR-0000057
18231,Loft-like Apt./Garden,70224,Arlene,,Noe Valley,37.74858,-122.42865,Entire home/apt,95,30,72,2024-08-17,0.40,1,244,3,
18904,Lower Haight Urban Zen With Private Bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,115,2,490,2025-02-24,3.04,1,29,19,STR-0000094
21334,Studio loft on top of Russian Hill,81455,Joe,,Nob Hill,37.7962,-122.41562,Entire home/apt,250,30,125,2024-08-10,0.69,1,364,1,City registration pending
